review,overall rating
Great ambiance and service. Lots of menu choice. We never felt rushed and had a wonderful evening catching up with friends.,3
"Exceptional service, cuisine, ambience.  Window seating was splendid with serene autumn view.  Always a pleasurable experience.",4
"Our server Darcy was wonderful!  She accommodated numerous requests as we were with 2 hard of hearing people.  Darcy assisted with the volume of music and moved us to a more suitable table.
She had positive and friendly demeanor and went above and beyond.
Unfortunately one of our party was ill once arriving home from the meal.  The rest of us liked what we ordered.",2
Great food choices for lunch and excellent service. The atmosphere is warm and welcoming.,3
Always reliable and great place to go for lunch or dinner.  Parking is a bonus!,4
Great Renovation!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,4
"We sat on the patio. Service was outstanding…fun and efficient.
Food was excellent and the patio was comfortable…aside from a group of Harleys. 
The Miller is always great…a little pricy but worth it",4
"Great place to meet a friend for lunch - I had the roast chicken club which was very tasty - two small things: they could degrease the bacon with some paper towels and the chicken was shredded and mixed with mayo so a bit rich and messy to eat. Fries are perfect! 

Service was super friendly and attentive.",3
Our server was awesome. She picked up on our birthdays celebration and brought us a yummy dessert to share. She gave us the perfect amount of space. Thank you!,3
We had a table in the window balcony are & it was quiet-nice not having to yell back & forth with your table mates!! Service was great & the food was delicious.,4
"We went for an early dinner, 4:30.  We indicated to staff we would require wheelchair access ie lower dining room or patio as wheel trans drops off in the parking lot.  First the place closed the patio, then they closed the lower dining room.  

If you are going to charge high prices for food then your service should be on par.  Closing off rooms especially knowing a patron needs wheelchair access is mean and cheap !

We dine at the Miller often.  Shape up or we will shape out !!!

Annoyed",3
Great restaurant and we had a great time and fun..,4
Great service by our well informed waiter. He knew the menu possibilities in great detail.,4
A beautiful outdoor patio with excellent food and service.,4
Well done. Much better than the previous miller taverns... (except for the Jolly Miller. #IYKYK),4
Great food. Excellent service! Steak was cooked to perfection and crab cakes were amazing.,4
Music a bit loud to enjoy a conversation in the dining area.,3
The food options were excellent. Loved the warm vibe of the restaurant.,4
Great place,4
